contact_id,customer_id,channel,sent_at,hour_sent,days_before_due_at_contact,responded,responded_within_hours,outcome
CT-000000,C00001,APP_PUSH,2026-08-30 16:00:00,16,5,False,,IGNORED
CT-000001,C00001,APP_PUSH,2026-08-13 20:00:00,20,5,False,,IGNORED
CT-000002,C00001,APP_PUSH,2026-06-24 18:00:00,18,9,False,,IGNORED
CT-000003,C00002,APP_PUSH,2026-07-22 13:00:00,13,6,False,,REJECTED
CT-000004,C00003,WHATSAPP,2026-06-20 10:00:00,10,7,False,,REJECTED
CT-000005,C00003,APP_PUSH,2026-08-09 19:00:00,19,4,False,,IGNORED
CT-000006,C00003,SMS,2026-09-08 17:00:00,17,6,False,,IGNORED
CT-000007,C00004,APP_PUSH,2026-08-04 18:00:00,18,4,False,,IGNORED
CT-000008,C00004,WHATSAPP,2026-08-29 16:00:00,16,2,True,0.16,ANSWERED
CT-000009,C00004,WHATSAPP,2026-08-27 16:00:00,16,8,False,,REJECTED
CT-000010,C00005,WHATSAPP,2026-09-07 19:00:00,19,7,False,,IGNORED
CT-000011,C00005,CALL,2026-06-24 21:00:00,21,8,False,,IGNORED
CT-000012,C00005,CALL,2026-06-18 21:00:00,21,7,True,3.58,ANSWERED
CT-000013,C00006,CALL,2026-07-08 19:00:00,19,7,False,,IGNORED
CT-000014,C00006,CALL,2026-07-09 21:00:00,21,6,False,,BOUNCED
CT-000015,C00006,CALL,2026-08-12 23:00:00,23,12,True,4.62,ANSWERED
CT-000016,C00006,CALL,2026-08-24 17:00:00,17,6,False,,IGNORED
CT-000017,C00006,CALL,2026-08-31 17:00:00,17,4,False,,IGNORED
CT-000018,C00007,WHATSAPP,2026-07-22 12:00:00,12,8,False,,REJECTED
CT-000019,C00007,WHATSAPP,2026-07-31 00:00:00,0,8,False,,IGNORED
CT-000020,C00007,WHATSAPP,2026-09-01 17:00:00,17,5,False,,IGNORED
CT-000021,C00008,SMS,2026-08-19 05:00:00,5,1,False,,IGNORED
CT-000022,C00008,SMS,2026-08-24 08:00:00,8,2,False,,IGNORED
CT-000023,C00008,SMS,2026-07-25 14:00:00,14,2,True,9.3,ANSWERED
CT-000024,C00009,CALL,2026-09-03 21:00:00,21,2,False,,IGNORED
CT-000025,C00009,CALL,2026-07-31 22:00:00,22,1,False,,IGNORED
CT-000026,C00009,APP_PUSH,2026-08-01 22:00:00,22,3,False,,IGNORED
CT-000027,C00009,CALL,2026-07-15 18:00:00,18,0,True,0.2,ANSWERED
CT-000028,C00010,CALL,2026-08-06 08:00:00,8,2,False,,IGNORED
CT-000029,C00010,APP_PUSH,2026-07-28 08:00:00,8,1,False,,IGNORED
CT-000030,C00010,WHATSAPP,2026-09-07 09:00:00,9,2,False,,IGNORED
CT-000031,C00011,CALL,2026-08-10 14:00:00,14,-1,False,,REJECTED
CT-000032,C00011,CALL,2026-07-19 10:00:00,10,3,True,0.02,ANSWERED
CT-000033,C00012,APP_PUSH,2026-09-05 16:00:00,16,10,False,,IGNORED
CT-000034,C00012,APP_PUSH,2026-07-03 09:00:00,9,7,False,,REJECTED
CT-000035,C00012,CALL,2026-06-19 14:00:00,14,5,True,7.2,ANSWERED
CT-000036,C00012,CALL,2026-07-25 17:00:00,17,9,True,0.79,ANSWERED
CT-000037,C00012,CALL,2026-08-10 06:00:00,6,4,False,,IGNORED
CT-000038,C00012,CALL,2026-08-17 14:00:00,14,10,False,,IGNORED
CT-000039,C00012,WHATSAPP,2026-06-19 14:00:00,14,6,True,0.06,ANSWERED
CT-000040,C00013,CALL,2026-09-10 11:00:00,11,1,True,4.44,ANSWERED
CT-000041,C00013,CALL,2026-09-07 17:00:00,17,4,True,0.02,ANSWERED
CT-000042,C00013,CALL,2026-07-14 16:00:00,16,8,False,,IGNORED
CT-000043,C00013,CALL,2026-07-21 18:00:00,18,5,True,3.3,ANSWERED
CT-000044,C00013,CALL,2026-07-09 12:00:00,12,4,False,,IGNORED
CT-000045,C00013,CALL,2026-08-06 15:00:00,15,6,True,1.16,ANSWERED
CT-000046,C00013,CALL,2026-06-22 19:00:00,19,4,False,,BOUNCED
CT-000047,C00015,APP_PUSH,2026-07-31 12:00:00,12,9,True,0.11,ANSWERED
CT-000048,C00016,CALL,2026-08-30 15:00:00,15,2,True,3.17,ANSWERED
CT-000049,C00016,CALL,2026-08-26 20:00:00,20,5,True,5.83,ANSWERED
CT-000050,C00016,SMS,2026-08-31 20:00:00,20,7,False,,IGNORED
