credit_product,digital_capability,income_type,installment_amount,income_hist_avg,expenses_hist_avg,current_balance,balance_14d_ago,min_balance_30d,avg_balance_30d,hist_avg_balance,hist_std_balance,hist_avg_balance_at_due,income_last_30d,expenses_last_30d,expenses_last_7d,payment_delay_avg,payment_delay_max,payment_delay_std,last_payment_delay_days,failed_payment_attempts_30d,failed_attempts_hist_avg,partial_payments_n,on_time_payments_n,payments_observed_n,hist_cycles_available,income_due_gap,income_due_gap_pos,income_amount_cv,income_date_unknown,balance_ratio,projected_coverage,balance_vs_historical,recent_balance_drop,min_balance_ratio_30d,income_variation,expense_variation_30d,spending_velocity_7d,payment_punctuality,last_payment_delay_deviation,failed_attempts_deviation,baseline_unreliable,contact_history_insufficient,contact_response_rate,app_engagement_ratio,contacts_sent_90d,contacts_answered_90d,opt_out_flag,current_cycle_paid,app_logins_30d,app_logins_hist_avg,push_enabled,activity_events_90d,days_since_last_login,days_since_last_contact,external_debt_ratio_mock,nomina_en_banco_mock,has_missing_core,tenure_months,due_day,income_expected_day,days_to_due,dataset_version,generator_seed,snapshot_date,next_due_date,next_expected_income_date,customer_id,full_name_mock,dui_mock,synthetic_late_payment_next_cycle,expected_intervene,is_golden,golden_scenario,golden_expected_situation,golden_expected_intervene,golden_expected_escalation,golden_expected_anomalous,golden_expected_guided_help,golden_expected_complex_case,expected_anomalous,income_day_std,expected_escalation,expected_guided_help,expected_complex_case
PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,SALARIED,200.0,750.0,550.0,500.0,520.0,400.0,450.0,500.0,50.0,300.0,750.0,550.0,128.0,0.5,2,0.5,0,0,0.1,0,5,6,6,-5,0,0.06,0,3.2,2.5,1.05,0.0,1.5,0.02,0.0,1.0,1.0,0,0,0,0,0.8,1.0,3,2,False,False,8,8.0,True,24,2,10,0.3,True,0,36,25,25.0,7,synth_v1,42,2026-09-12,,,GOLD-G01,Golden G01,DUI-DEMO-GOLD-G01,0,False,True,S0_estable,S0,False,False,False,False,False,,,,,
PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,SALARIED,200.0,750.0,550.0,500.0,520.0,400.0,450.0,500.0,50.0,300.0,750.0,550.0,128.0,0.5,2,0.5,0,0,0.1,0,5,6,6,-5,0,0.06,0,6.0,2.5,1.0,0.0,1.5,1.8,0.4,1.0,1.0,0,0,0,0,0.6,1.0,3,2,False,False,8,8.0,True,24,2,10,0.3,True,0,36,25,25.0,7,synth_v1,42,2026-09-12,,,GOLD-G02,Golden G02,DUI-DEMO-GOLD-G02,0,False,True,S0_no_molestar_anomalia_benigna,S0,False,False,True,False,False,True,,,,
PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,SALARIED,200.0,750.0,550.0,500.0,520.0,400.0,450.0,500.0,50.0,300.0,750.0,550.0,128.0,3.0,2,0.5,0,0,0.1,0,5,6,6,-5,0,0.06,0,2.5,2.5,1.0,0.0,1.5,0.0,0.0,1.0,0.33,0,0,0,0,0.6,1.0,3,2,False,False,8,8.0,True,24,2,10,0.3,True,0,36,25,25.0,7,synth_v1,42,2026-09-12,,,GOLD-G03,Golden G03,DUI-DEMO-GOLD-G03,0,True,True,S1_friccion_cronica,S1,True,False,False,False,False,,,,,
PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,SALARIED,200.0,750.0,550.0,500.0,520.0,400.0,450.0,500.0,50.0,300.0,750.0,550.0,128.0,0.5,2,0.5,0,0,0.1,0,5,6,6,-5,0,0.06,0,1.4,2.5,1.0,0.0,1.5,0.0,0.0,1.0,0.5,0,0,0,0,0.6,1.0,3,2,False,False,8,8.0,True,24,2,10,0.3,True,0,36,25,25.0,7,synth_v1,42,2026-09-12,,,GOLD-G04,Golden G04,DUI-DEMO-GOLD-G04,0,True,True,S1_paga_al_limite,S1,True,False,False,False,False,,,,,
VEHICLE_LOAN,D1,SALARIED,200.0,750.0,550.0,500.0,520.0,400.0,450.0,500.0,50.0,300.0,750.0,550.0,128.0,0.5,2,0.5,0,0,0.1,0,5,6,6,5,5,0.06,0,0.5,3.5,1.0,0.0,1.5,0.0,0.0,1.0,0.4,0,0,0,0,0.6,1.0,3,2,False,False,8,8.0,True,24,2,10,0.3,True,0,36,25,25.0,7,synth_v1,42,2026-09-12,,,GOLD-G05,Golden G05,DUI-DEMO-GOLD-G05,0,True,True,S2_asalariado_dia30,S2,True,False,False,False,False,,,,,
PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,INDEPENDENT,200.0,750.0,550.0,500.0,520.0,400.0,450.0,500.0,50.0,300.0,750.0,550.0,128.0,0.5,2,0.5,0,0,0.1,0,5,6,6,-5,0,0.4,1,0.7,2.5,1.0,0.0,1.5,0.0,0.0,1.0,0.9,0,0,0,0,0.6,1.0,3,2,False,False,8,8.0,True,24,2,10,0.3,True,0,36,25,25.0,7,synth_v1,42,2026-09-12,,,GOLD-G06,Golden G06,DUI-DEMO-GOLD-G06,0,True,True,S2_independiente_fecha_incierta,S2,True,False,False,False,False,,7.0,,,
PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,SALARIED,200.0,750.0,550.0,500.0,520.0,400.0,450.0,500.0,50.0,300.0,750.0,550.0,128.0,0.5,2,0.5,0,0,0.1,0,5,6,6,-5,0,0.06,0,0.4,2.5,0.35,0.5,1.5,-0.4,0.0,1.0,0.85,0,0,0,0,0.6,1.0,3,2,False,False,8,8.0,True,24,2,10,0.3,True,0,36,25,25.0,7,synth_v1,42,2026-09-12,,,GOLD-G07,Golden G07,DUI-DEMO-GOLD-G07,0,True,True,S3_caida_ingreso,S3,True,False,False,False,False,,,,,
PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,SALARIED,200.0,750.0,550.0,500.0,520.0,400.0,450.0,500.0,50.0,300.0,750.0,550.0,128.0,0.5,2,0.5,0,3,0.1,0,5,6,6,-5,0,0.06,0,0.6,2.5,1.0,0.0,0.05,0.0,0.5,2.4,0.9,0,0,0,0,0.6,1.0,3,2,False,False,8,8.0,True,24,2,10,0.3,True,0,36,25,25.0,7,synth_v1,42,2026-09-12,,,GOLD-G08,Golden G08,DUI-DEMO-GOLD-G08,0,True,True,S3_gasto_mas_intentos_fallidos,S3,True,False,False,False,False,,,,,
PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,SALARIED,200.0,750.0,550.0,500.0,520.0,400.0,450.0,500.0,50.0,300.0,750.0,550.0,128.0,0.5,2,0.5,0,0,0.1,0,5,6,6,-5,0,0.06,0,0.9,2.5,1.0,0.0,1.5,0.0,0.0,1.0,0.5,0,0,0,0,0.0,0.2,6,2,False,False,8,8.0,True,24,2,10,0.3,True,0,36,25,25.0,7,synth_v1,42,2026-09-12,,,GOLD-G09,Golden G09,DUI-DEMO-GOLD-G09,0,True,True,S4_baja_respuesta_digital,S4,True,False,False,False,False,,,,,
PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,SALARIED,200.0,750.0,550.0,500.0,520.0,400.0,450.0,500.0,50.0,300.0,750.0,550.0,128.0,0.5,2,0.5,0,0,0.1,0,5,6,6,7,7,0.06,0,0.6,2.0,1.0,0.0,1.5,0.0,0.0,1.0,0.9,0,0,0,0,0.1,1.0,3,2,False,False,8,8.0,True,24,2,2,0.3,True,0,36,25,25.0,7,synth_v1,42,2026-09-12,,,GOLD-G10,Golden G10,DUI-DEMO-GOLD-G10,0,False,True,S2_S4_hibrido,S2,False,False,False,False,False,,,,,
