intervention_id,customer_id,situation_hint,low_digital_response,risk_level,decision,channel_used,channel_source,recommended_action,credit_product,digital_capability,needs_guided_help,complex_case
IV-000000,C02140,S0,False,HIGH,INTERVENE,CALL,FALLBACK_CALL,GUIDED_APP_HELP,PERSONAL_LOAN_MORTGAGE_BACKED,D3,True,False
IV-000001,C01850,S0,False,MEDIUM,NO_CONTACT,CALL,FALLBACK_CALL,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,False,False
IV-000002,C00363,S0,False,MEDIUM,NO_CONTACT,CALL,FALLBACK_CALL,NO_CONTACT,SALARY_ADVANCE,D1,False,False
IV-000003,C00394,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,False,False
IV-000004,C01194,S1,True,HIGH,INTERVENE,CALL,FALLBACK_CALL,CHANNEL_SWITCH,PERSONAL_LOAN_PAYROLL_DEDUCTION,D2,False,False
IV-000005,C00598,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_MORTGAGE_BACKED,D1,False,False
IV-000006,C00796,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,CREDICHEQUE,D1,False,False
IV-000007,C00183,S1,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,VEHICLE_LOAN,D2,False,False
IV-000008,C00345,S1,False,HIGH,INTERVENE,CALL,FALLBACK_CALL,SIMPLE_REMINDER,PERSONAL_LOAN_PAYROLL_DEDUCTION,D2,False,False
IV-000009,C01352,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_MORTGAGE_BACKED,D1,False,False
IV-000010,C00772,S3,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_ACCOUNT_DEBIT,D2,False,False
IV-000011,C01740,S1,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,STUDENT_LOAN,D1,False,False
IV-000012,C02257,S0,True,MEDIUM,INTERVENE,CALL,FALLBACK_CALL,GUIDED_APP_HELP,HOME_LOAN,D3,True,False
IV-000013,C01031,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D2,False,False
