situation_hint,barrier_detected,channel,alt_id,n_offered,n_accepted,n_paid_on_time_after,avg_turns,pct_tense_or_hostile,acceptance_rate,success_rate
S1,DATE_MISMATCH,CALL,ALT-REMINDER-PAYLINK,5,4,4,3.0,0.2,0.8,0.7143
S1,FORGOT,CALL,ALT-REMINDER-PAYLINK,105,86,71,3.7,0.1048,0.819,0.6729
S0,DATE_MISMATCH,CALL,ALT-CHANNEL-SUPPORT,1,1,1,4.0,0.0,1.0,0.6667
S3,LIQUIDITY,SMS,ALT-PARTIAL,1,1,1,4.0,0.0,1.0,0.6667
S1,OTHER,CALL,ALT-REMINDER-PAYLINK,9,7,6,3.78,0.3333,0.7778,0.6364
S1,DISPUTE,CALL,ALT-REMINDER-PAYLINK,9,7,6,4.11,0.2222,0.7778,0.6364
S1,LIQUIDITY,CALL,ALT-REMINDER-PAYLINK,11,7,6,3.91,0.1818,0.6364,0.5385
S1,REFUSAL,CALL,ALT-REMINDER-PAYLINK,8,4,4,4.5,0.125,0.5,0.5
S1,TECHNICAL,CALL,ALT-REMINDER-PAYLINK,11,6,5,4.18,0.2727,0.5455,0.4615
S3,LIQUIDITY,CALL,ALT-PARTIAL,9,4,4,4.22,0.3333,0.4444,0.4545
S1,ALREADY_PAID,CALL,ALT-REMINDER-PAYLINK,7,4,3,2.86,0.1429,0.5714,0.4444
S1,FORGOT,SMS,ALT-AUTOSAVE-PCT,3,1,1,2.67,0.0,0.3333,0.4
S1,ALREADY_PAID,CALL,ALT-GRACE-DAYS,3,1,1,3.67,0.0,0.3333,0.4
S1,DISPUTE,CALL,ALT-GRACE-DAYS,3,1,1,5.0,0.6667,0.3333,0.4
S1,LIQUIDITY,CALL,ALT-GRACE-DAYS,3,1,1,5.33,0.3333,0.3333,0.4
S1,OTHER,CALL,ALT-GRACE-DAYS,3,1,1,4.0,0.3333,0.3333,0.4
S1,FORGOT,SMS,ALT-REMINDER-PAYLINK,3,2,1,2.67,0.0,0.6667,0.4
S0,DATE_MISMATCH,WHATSAPP,ALT-NONE,1,0,0,5.0,0.0,0.0,0.3333
S0,DATE_MISMATCH,CALL,ALT-NONE,1,0,0,3.0,0.0,0.0,0.3333
S3,TECHNICAL,APP_PUSH,ALT-AUTOSAVE-PCT,1,0,0,3.0,0.0,0.0,0.3333
S3,TECHNICAL,APP_PUSH,ALT-PARTIAL,1,0,0,3.0,0.0,0.0,0.3333
S2,DATE_MISMATCH,WHATSAPP,ALT-AUTOSAVE-PCT,1,0,0,4.0,0.0,0.0,0.3333
S1,TECHNICAL,CALL,ALT-CHANNEL-SUPPORT,1,0,0,2.0,0.0,0.0,0.3333
S2,DATE_MISMATCH,WHATSAPP,ALT-DATE-SHIFT,1,1,0,4.0,0.0,1.0,0.3333
S1,ALREADY_PAID,SMS,ALT-REMINDER-PAYLINK,1,0,0,6.0,1.0,0.0,0.3333
S1,FORGOT,APP_PUSH,ALT-AUTOSAVE-PCT,1,0,0,2.0,0.0,0.0,0.3333
S1,FORGOT,APP_PUSH,ALT-REMINDER-PAYLINK,1,1,0,2.0,0.0,1.0,0.3333
S1,ALREADY_PAID,SMS,ALT-AUTOSAVE-PCT,1,0,0,6.0,1.0,0.0,0.3333
S1,ALREADY_PAID,CALL,ALT-CHANNEL-SUPPORT,1,0,0,2.0,0.0,0.0,0.3333
S1,DATE_MISMATCH,CALL,ALT-GRACE-DAYS,1,0,0,3.0,0.0,0.0,0.3333
S1,LIQUIDITY,SMS,ALT-AUTOSAVE-PCT,1,0,0,2.0,0.0,0.0,0.3333
S1,LIQUIDITY,SMS,ALT-REMINDER-PAYLINK,1,1,0,2.0,0.0,1.0,0.3333
S1,LIQUIDITY,SMS,ALT-GRACE-DAYS,1,0,0,2.0,0.0,0.0,0.3333
S1,FORGOT,SMS,ALT-GRACE-DAYS,1,0,0,4.0,0.0,0.0,0.3333
S1,LIQUIDITY,CALL,ALT-CHANNEL-SUPPORT,1,0,0,5.0,0.0,0.0,0.3333
S3,LIQUIDITY,SMS,ALT-AUTOSAVE-PCT,1,0,0,4.0,0.0,0.0,0.3333
S3,LIQUIDITY,WHATSAPP,ALT-PARTIAL,2,2,0,4.5,0.0,1.0,0.25
S3,LIQUIDITY,WHATSAPP,ALT-AUTOSAVE-PCT,3,0,0,4.0,0.0,0.0,0.2
S1,REFUSAL,CALL,ALT-AUTOSAVE-PCT,8,1,1,4.5,0.125,0.125,0.2
S1,TECHNICAL,CALL,ALT-GRACE-DAYS,3,0,0,3.67,0.6667,0.0,0.2
S3,LIQUIDITY,CALL,ALT-AUTOSAVE-PCT,10,1,1,4.0,0.4,0.1,0.1667
S1,REFUSAL,CALL,ALT-GRACE-DAYS,4,1,0,3.75,0.0,0.25,0.1667
S1,LIQUIDITY,CALL,ALT-AUTOSAVE-PCT,11,1,1,3.91,0.1818,0.0909,0.1538
S1,TECHNICAL,CALL,ALT-AUTOSAVE-PCT,11,2,1,4.18,0.2727,0.1818,0.1538
S1,DATE_MISMATCH,CALL,ALT-AUTOSAVE-PCT,5,0,0,3.0,0.2,0.0,0.1429
S1,FORGOT,CALL,ALT-CHANNEL-SUPPORT,7,0,0,3.29,0.0,0.0,0.1111
S1,ALREADY_PAID,CALL,ALT-AUTOSAVE-PCT,7,0,0,2.86,0.1429,0.0,0.1111
S1,OTHER,CALL,ALT-AUTOSAVE-PCT,9,0,0,3.78,0.3333,0.0,0.0909
S1,DISPUTE,CALL,ALT-AUTOSAVE-PCT,9,0,0,4.11,0.2222,0.0,0.0909
S1,FORGOT,CALL,ALT-GRACE-DAYS,32,2,2,3.53,0.125,0.0625,0.0882
S1,FORGOT,CALL,ALT-AUTOSAVE-PCT,105,5,4,3.7,0.1048,0.0476,0.0467
